artwork_name,artwork_category,artwork_image_path,artwork_format,artwork_material,batch_production,artwork_orientation,artwork_technique_es,artwork_technique_en,artwork_short_description_es,artwork_short_description_en,qr_link
Solsticio de invierno 2,astronomia_inca,https://drive.google.com/file/d/100bJCky9BRCHbCecsYiihW7QWT4Uh1GE/view?usp=drive_link,A6,modigliani_260g,15,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Para los incas, las estrellas eran seres vivos que guiaban la tierra y el ciclo agrícola. Observaban sus movimientos reflejados en espejos de agua, alineando su vida con el cosmos. Esta obra, creada junto al arqueoastrónomo Andrés Adasme, muestra las estrellas que aún brillan sobre la Plaza de Armas de Cusco, en el antiguo Kiswarcancha —actual Catedral— durante el amanecer del solsticio de invierno, evocando la continuidad del saber astronómico andino.","For the Incas, the stars were living beings that guided the Earth and its agricultural cycle. They observed their movements reflected in water mirrors, aligning their lives with the cosmos. This piece, created in collaboration with archaeoastronomer Andrés Adasme, depicts the same stars that still shine above Cusco’s Plaza de Armas, over the ancient Kiswarcancha —now the Cathedral— at dawn on the winter solstice, evoking the continuity of Andean astronomical knowledge.",https://ar.totemiq.art/reality/Solsticio
La Inmaculada,actividades_ancestrales,https://drive.google.com/file/d/1bK1IiZRWOkFbt_-rIGQZpfY6mJvdguvy/view?usp=drive_link,A6,modigliani_260g,25,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Creada en colaboración con la comunidad de Pachar, Totemiq, Turismo Cuida, Qroma y la Municipalidad de Ollantaytambo para el proyecto ""Pachar Pueblo Mural"", esta pieza fue pintada en la iglesia del pueblo. La Virgen Inmaculada representa a la Pachamama y a la montaña tras la iglesia del pueblo, celebrando el sincretismo andino-cristiano. El cielo de la obra reproduce las estrellas del 8 de diciembre, festividad mayor local, tal como se vería reflejado en un espejo de agua inca.","Created in collaboration with the community of Pachar, Totemiq, Turismo Cuida, Qroma, and the Municipality of Ollantaytambo for the “Pachar Pueblo Mural” project, this piece was painted on the village church. The Immaculate Virgin embodies both Pachamama and the mountain that rises behind the church, celebrating Andean-Christian syncretism. The sky in the artwork depicts the stars of December 8, the community’s most important festivity, as they would appear reflected in an Inca water mirror.",https://ar.totemiq.art/reality/Ukuko
Colonial 1 Paloma,arte_colonial,https://drive.google.com/file/d/1wmvnmsgjSX_W0pdAm6vBLHidBbgAl43h/view?usp=drive_link,A6,modigliani_260g,20,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo Se inspira en la iconografía colonial presente en los bordados de trajes festivos y vestimentas religiosas de Pachar. En ellos, la flora y fauna andina se fusionan con los motivos introducidos en la colonia, creando un sincretismo visual único que refleja la identidad cultural de los Andes.","This piece emerges from the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the Municipalidad Distrital de Ollantaytambo.
It is inspired by the colonial iconography found in the embroidered festive attire and religious garments of Pachar. In these textiles, Andean flora and fauna intertwine with motifs introduced during the colonial period, creating a unique visual syncretism that reflects the cultural identity of the Andes.

",https://ar.totemiq.art/reality/Paloma%20Colonial
La Mestiza,arte_popular_andino,https://drive.google.com/file/d/1raYUWrQ-QqDEvGChWFhePu3Mu63tjYv9/view?usp=drive_link,A6,modigliani_260g,20,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Ella es más que mitad y mitad, migrante y emigrante.
equinoccio y solsticio, es cielo y es tierra,
y todo lo que existe entre los dos.
Habla con sabiduría ancestral de tecnología moderna.
Su nombre está escrito en las estrellas.
La hija de la luna y el sol.","She is more than halves, both migrant and traveler,
Equinox and solstice, sky and earth,
and everything in between.
She speaks with ancient wisdom of modern times,
Her name is written in the stars,
Daughter of the moon and the sun.",https://ar.totemiq.art/reality/La%20Mestiza
La siembra en noches de luna llena,actividades_ancestrales,https://drive.google.com/file/d/1Y_43MzwUSJ0VB7ZwjlyYqRJ1pciE-zK5/view?usp=drive_link,A6,modigliani_260g,25,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo. Representa la siembra del maíz bajo la luz de la luna llena, una práctica ancestral que encarna la profunda conexión de los incas con la naturaleza y el cosmos. Este conocimiento agrícola, basado en la observación astronómica, sigue vigente en las comunidades andinas.","This piece emerges from the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo.
It depicts the sowing of corn under the light of the full moon, an ancestral practice that reflects the Incas’ profound connection with nature and the cosmos. This agricultural knowledge, rooted in astronomical observation, remains alive in Andean communities today.",https://totemiq.art
La tinkada de papa en solsticio de invierno,actividades_ancestrales,https://drive.google.com/file/d/1_IHx3U0ynZKjCv8flm6-QM5dtyclXLPH/view?usp=drive_link,A6,modigliani_260g,20,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge de la colaboración entre Totemiq, la comunidad de Pachar y otras entidades en el marco del Pachar Pueblo Mural. Representa la ""tinkada"", un ritual en el que se rocía chicha (bebida sagrada) sobre las semillas de papa con los primeros rayos del sol del solsticio de invierno, el 21 de junio.
Este acto simboliza la conexión ancestral de los incas con la naturaleza y el cosmos, un conocimiento ancestral que aún perdura vivo en las comunidades andinas.","This piece emerges from the collaboration between Totemiq, the community of Pachar, and other entities as part of the Pachar Pueblo Mural project. It represents the ""tinkada,"" a ritual in which chicha (a sacred drink) is sprinkled over potato seeds with the first rays of the winter solstice sun on June 21st.
This act symbolizes the Incas' ancestral connection with nature and the cosmos, an ancient knowledge that remains alive in Andean communities today.",https://totemiq.art
Mestiza de Ollantaytambo,actividades_ancestrales,https://drive.google.com/file/d/1HSYECeCUBJTxZWimBQhi66xr_ATiVRby/view?usp=drive_link,A6,modigliani_260g,25,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/reality/Mestiza%20de%20Ollantaytambo
Kachampa,actividades_ancestrales,https://drive.google.com/file/d/16wHZq8MviIzfUZKlb-K9ouZFjyggK-Y3/view?usp=drive_link,A6,modigliani_260g,10,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/reality/Kachampa
Cucasaru en amarillo,actividades_ancestrales,https://drive.google.com/file/d/1cys0HqDLNarz5tdleUfuWPB1g-vZrzqS/view?usp=drive_link,A6,modigliani_260g,20,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/
Mestiza Qollacha en azul,actividades_ancestrales,https://drive.google.com/file/d/1FKDwhWFz3xONiWlpVQkNoJFVg0hNVApq/view?usp=drive_link,A6,modigliani_260g,10,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/
