Nombre del artículo,ID del artículo,ingresos 
MESTIZA DE OLLANTAYTAMBO,pri-a5-fab,5
UKUKOS 3 AMARILLO,pri-a5-fab,10
TINKUS,pri-a5-fab,10
MAJEÑO,pri-a5-fab,1
MESTIZA QOLLACHA AZUL,pri-a5-fab,10
CUCASARU AZUL,pri-a5-fab,1
KACHAMPA FUCSIA,pri-a5-fab,5
MESTIZA QOLLACHA FUCSIA,pri-a5-fab,10
UKUKUS AZUL,pri-a5-fab,5
CUCASARU AMARILLO,pri-a5-fab,5
QHAPAQ QOLLA,pri-a5-fab,5
ESTRELLAS Y TEJIDOS,pri-a5-fab,0
KUYAY,pri-a5-fab,0
SIEMBRA DE MAIZ,pri-a5-fab,10
CONSTELACIONES OSCURAS,pri-a5-fab,10
DIVERSIDAD,pri-a5-fab,0
EL SUEÑO DEL CARMEN DANZAQ,pri-a5-fab,1
AMARRAR LAS ESTRELLAS ,pri-a5-fab,10
MAGNOLIA,pri-a5-fab,14
MESTIZA,pri-a5-fab,1
MONALISA MESTIZA,pri-a5-fab,10
PESCA NIÑOS,pri-a5-fab,5
LA INMACULADA,pri-a5-fab,10
LA DOLOROSA,pri-a5-fab,5
QHAPAQ QOLLA 3D,pri-a5-fab,5
MAJEÑO 3D,pri-a5-fab,5
UKUKU 3D,pri-a5-fab,5
UKUKU PLOMO,pri-a5-fab,1
MAJEÑO PLOMO,pri-a5-fab,1
UKUKU PLOMO,pri-a5-fab,1
TEJIDO INCA ROJO Y AZUL,pri-a5-fab,1
YUNZA,pri-a5-fab,10
YUNTA,pri-a5-fab,5
TINKADA,pri-a5-fab,5
PESCA NOCHE,pri-a5-fab,5
AMADAS ESTRELLAS,pri-a5-fab,0
MAQUINA DE HACER UNIVERSO FRACTAL,pri-a5-fab,0
Maquina de hacer universos,pri-a5-fab,0
Estados 4,pri-a5-fab,0
Estados 1,pri-a5-fab,0
Estados 2,pri-a5-fab,0
Estados 3 ,pri-a5-fab,0
COLONIAL PALOMAS,pri-a5-fab,1
,,
